STATION,STATION_NAME,STATION_CODE,CITY_CODE
USW00023230,CA OAKLAND METRO INTL AP,72493,OAK
USW00023174,CA LOS ANGELES INTL AP,72295,LAX
USW00013739,PA PHILADELPHIA INTL AP,72408,PHL
USW00014739,MA BOSTON LOGAN INTL AP,72509,BOS
USW00023234,CA SAN FRANCISCO INTL AP,72494,SFO
USW00014819,IL CHICAGO MIDWAY AP,72534,MDW
USW00093738,VA WASHINGTON DC DULLES AP,72403,IAD
USW00014732,NY NEW YORK LAGUARDIA AP,72503,LGA
USW00014734,NJ NEWARK INTL AP,72502,EWR
USW00093721,MD BALTIMORE WASH INTL AP,72406,BWI
USW00003927,TX DALLAS FT WORTH AP,72259,DFW
USW00014792,NJ TRENTON MERCER CO AP,,TTN
USW00013743,VA WASHINGTON REAGAN AP           GSN,72405,DCA
USW00094789,NY NEW YORK JFK INTL AP,74486,JFK
USW00094745,NY WESTCHESTER CO AP,,HPN
USW00013874,GA ATLANTA HARTSFIELD INTL AP,72219,ATL
USW00094846,IL CHICAGO OHARE INTL AP,72530,ORD
